"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","coin"
"RT @IrishGirlCrypt1: 🚨FAST #Ethereum #Crypto #Giveaway🚨

🎁ONE PERSON GETS $20 IN $ETH 🤑

🧜‍♀️Easy Rules:

✅Like &amp; Retweet

✅Follow @IrishGi…",FALSE,0,NA,2020-02-11 23:59:28,FALSE,NA,"1227381671864852481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","athanmaano",756,TRUE,FALSE,NA,NA,"$ETH"
"Cryptocurrencies $ETH $LTC $DASH $XMR $ZCASH https://t.co/Vn54eOgqG9 https://t.co/WIFMtL5OXN",FALSE,0,NA,2020-02-11 23:59:21,FALSE,NA,"1227381639090769920",NA,"<a href=""http://www.worldcoinindex.com"" rel=""nofollow"">WCI Trending</a>","WorldCoinIndex",1,FALSE,FALSE,NA,NA,"$ETH"
"$DUSK Main target reached with 27% profit. 

#DUSK / $BTC pair is showing a strong bullish trend. So DUSK / $USDT i… https://t.co/ZHzUjsFN5q",FALSE,4,NA,2020-02-11 23:57:37,TRUE,NA,"1227381204640391168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_CryptoT",2,FALSE,FALSE,NA,NA,"$ETH"
"Hourly price Update 🗣:
Bitcoin $BTC: 10225.95 $USDT
Ethereum $ETH: 236.82 $USDT",FALSE,0,NA,2020-02-11 23:57:19,FALSE,NA,"1227381128270577673",NA,"<a href=""https://yannis.dev"" rel=""nofollow"">Rekt FTX</a>","RektFtx",0,FALSE,FALSE,NA,NA,"$ETH"
"RT @SatoshiFlipper: Soon:

$BTC $11k

$ETH $250

$LTC $100",FALSE,0,NA,2020-02-11 23:56:53,FALSE,NA,"1227381021693423616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LowByter",80,TRUE,FALSE,NA,NA,"$ETH"
"RT @Cardanians_io: #Cardano is like Linux or modern Microsoft, with the difference that the project is owned and decentralized by $ADA coin…",FALSE,0,NA,2020-02-11 23:56:43,FALSE,NA,"1227380977195814912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sirjohnhargrave",34,TRUE,FALSE,NA,NA,"$ETH"
"RT @CKvack: I know I follow a lot of $link marines but practically EVERYONE is shilling $link in my feed today. 

The inevitable is arrivin…",FALSE,0,NA,2020-02-11 23:55:24,FALSE,NA,"1227380648031248386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DDivs3",1,TRUE,FALSE,NA,NA,"$ETH"
"@HodlJamie @lisaillman @ChainLinkGod @Crypto_Fido @ChainlinkBull Yes, Jamie! That’s a suggestion too. Split between $ETH &amp; $LINK",FALSE,2,"HodlJamie",2020-02-11 23:55:21,FALSE,"1227380370066178049","1227380635150487553","999072548431085573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","knots2kurls",0,FALSE,FALSE,NA,NA,"$ETH"
"RT @BITCOlNBULL: Giving away 10 {$2,392.00} #Ethereum 

🔑 RT &amp; Like
🔑 Follow @BITCOlNBULL
🔑 Follow @bloqport 
🔑 Tag 5 friends
 
💰 5 Win 2 $…",FALSE,0,NA,2020-02-11 23:54:53,FALSE,NA,"1227380514866118656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SeptaNu83873326",309,TRUE,FALSE,NA,NA,"$ETH"
"RT @bitcoin_brown: Are you all ready for what is about to happen?

✅ $BTC dominance slipping
✅ $ALTS popping every other day
✅ Bullish sent…",FALSE,0,NA,2020-02-11 23:54:29,FALSE,NA,"1227380418015637504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cryptoenlighte1",3,TRUE,FALSE,NA,NA,"$ETH"
"A Million EPayments Accounts Frozen Due to Regulation Control &gt;&gt;@ https://t.co/nrzSN0PH8x || $btc $eth $ltc $xrp… https://t.co/5VsL4R7rkK",FALSE,0,NA,2020-02-11 23:53:14,TRUE,NA,"1227380102889119749",NA,"<a href=""http://thecryptokeepers.com/"" rel=""nofollow"">thecryptokeepers</a>","thecryptokeepr",0,FALSE,FALSE,NA,NA,"$ETH"
"US Congressman Challenges Fed Chair on Threat of China’s Digital Currency &gt;&gt;@ https://t.co/QzAgzGXvTC || $btc $eth… https://t.co/lnp5NxujR8",FALSE,0,NA,2020-02-11 23:53:05,TRUE,NA,"1227380062883917825",NA,"<a href=""http://thecryptokeepers.com/"" rel=""nofollow"">thecryptokeepers</a>","thecryptokeepr",0,FALSE,FALSE,NA,NA,"$ETH"
"RT @SatoshiFlipper: Soon:

$BTC $11k

$ETH $250

$LTC $100",FALSE,0,NA,2020-02-11 23:52:23,FALSE,NA,"1227379888434212864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaylikescrypto",80,TRUE,FALSE,NA,NA,"$ETH"
"🌟Last tournament finished early! In less than 24h, 5 Caders got max score! Impressive! 👏
🕹️Let's start a new one: K… https://t.co/JuoMANWzGY",FALSE,4,NA,2020-02-11 23:51:47,TRUE,NA,"1227379738055979009",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CrypCade",2,FALSE,FALSE,NA,NA,"$ETH"
"Who wins when it comes to price action? My vote goes to $LINK

$BTC $ETH $LTC",FALSE,0,NA,2020-02-11 23:51:37,FALSE,NA,"1227379694544343041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CryptoD1G",0,FALSE,FALSE,NA,NA,"$ETH"
"The total supply of $HEX inflates over time. Richard expects you claim tokens, stake them, buy them with #Ethereum… https://t.co/lS074r3bsU",FALSE,4,"RUN_BTC",2020-02-11 23:51:28,TRUE,"1227378826772176898","1227379657848369152","1006919088160067584","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RUN_BTC",0,FALSE,FALSE,NA,NA,"$ETH"
"RT @onemanatatime: $Crypto Pump Schedule (5 Year Roadmap) 

2018 Q4: Bitcoin &amp; Ethereum Bottom Out
2019 Q2: Bullish Reversal
2020 Q2-Q3: AT…",FALSE,0,NA,2020-02-11 23:51:20,FALSE,NA,"1227379625392623617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gedepardeata",247,TRUE,FALSE,NA,NA,"$ETH"
"RT @BKCoinCapital: The total $ETH value locked in DeFi markets has just surpassed the $1bln milestone. The most popular DeFi dapps are buil…",FALSE,0,NA,2020-02-11 23:51:12,FALSE,NA,"1227379591674826753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MadHatterLos",1,TRUE,FALSE,NA,NA,"$ETH"
"RT @IrishGirlCrypt1: 🚨FAST #Ethereum #Crypto #Giveaway🚨

🎁ONE PERSON GETS $20 IN $ETH 🤑

🧜‍♀️Easy Rules:

✅Like &amp; Retweet

✅Follow @IrishGi…",FALSE,0,NA,2020-02-11 23:50:16,FALSE,NA,"1227379354436399104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jangrosco16",756,TRUE,FALSE,NA,NA,"$ETH"
"RT @cryptosUSD: 🔄 Prices update in $USD (1 hour):

$BTC   - 10286.7 $   (+0.56 %)
$ETH   - 237.64 $    (-0.03 %)
$XRP   - 0.28 $      (+0.4…",FALSE,0,NA,2020-02-11 23:50:09,FALSE,NA,"1227379323918802949",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OlegSankt",1,TRUE,FALSE,NA,NA,"$ETH"
"RT @SatoshiFlipper: Soon:

$BTC $11k

$ETH $250

$LTC $100",FALSE,0,NA,2020-02-11 23:49:15,FALSE,NA,"1227379098563096577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nem100000",80,TRUE,FALSE,NA,NA,"$ETH"
"RT @KyleMacLeanX: Charles Hoskinson, co-founder of Ethereum $ETH, founder of Cardano $ADA, will be working with $POLY next. How many ways c…",FALSE,0,NA,2020-02-11 23:48:02,FALSE,NA,"1227378794798841856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jrriggs2124",16,TRUE,FALSE,NA,NA,"$ETH"
"RT @bitcoin_brown: Are you all ready for what is about to happen?

✅ $BTC dominance slipping
✅ $ALTS popping every other day
✅ Bullish sent…",FALSE,0,NA,2020-02-11 23:47:28,FALSE,NA,"1227378651731095552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZerzexNZ",3,TRUE,FALSE,NA,NA,"$ETH"
